date,AA,BB,CC,DD,EE,FF,GG
2002-01-01,101.52,150.26,43.78,214.27,309.07,166.56,78.41
2002-02-01,102.8,155.95,45.81,218.37,306.81,135.27,82.83
2002-03-01,117.74,159.26,50.15,196.64,319.54,115.84,106.18
2002-04-01,121.2,164.93,52.43,219.05,311.19,134.99,97.59
2002-05-01,105.24,169.66,51.27,200.36,319.72,85.55,84.78
2002-06-01,103.49,172.25,47.44,217.54,308.52,150.56,90.19
2002-07-01,103.64,174.78,56.02,199.07,292.2,113.1,91.3
2002-08-01,94.42,177.25,55.48,201.31,286.01,116.3,102.9
2002-09-01,90.93,178.66,51.24,203.65,278.81,109.31,104.62
2002-10-01,85.23,178.82,49.04,231.79,275.14,107.28,105.44
2002-11-01,96.41,178.26,55.31,208.51,293.85,139.37,79.86
2002-12-01,101.89,176.66,53.77,192.93,285.91,128.6,84.3
2003-01-01,106.33,174.6,45.85,209.69,294.45,138.69,79.83
2003-02-01,119.64,173.07,53.02,196.38,289.32,122.38,89.12
2003-03-01,122.33,166.81,54.94,195.1,305.97,135.63,81.87
2003-04-01,118.2,162.29,49.4,209.09,313.4,112.53,76.47
2003-05-01,122.83,157.72,55.11,200.31,307.03,178.94,55.08
2003-06-01,111.21,152.97,47.16,202.79,315.95,84.2,46.11
2003-07-01,113.39,147.39,61.39,200.14,293.28,155.12,55.73
2003-08-01,101.75,140.42,61.22,203.37,294.61,158.0,71.32
2003-09-01,96.09,135.7,54.0,204.25,277.17,102.7,68.6
2003-10-01,92.1,132.69,57.35,180.63,274.0,179.93,75.03
2003-11-01,104.12,126.87,43.76,206.67,275.37,149.29,64.68
2003-12-01,103.23,124.04,50.31,190.18,283.13,148.88,89.69
2004-01-01,109.86,120.71,54.91,185.58,306.55,125.5,75.04
2004-02-01,118.24,118.44,51.3,199.42,283.94,119.57,102.76
2004-03-01,128.65,116.03,60.51,200.84,293.51,119.96,98.56
2004-04-01,130.33,115.24,67.21,193.06,307.55,135.16,98.79
2004-05-01,129.05,117.0,51.63,208.31,309.04,160.63,98.05
2004-06-01,124.15,118.93,53.61,186.58,306.82,130.33,83.08
2004-07-01,125.71,122.87,59.27,195.93,294.78,103.21,110.66
2004-08-01,105.97,127.05,66.44,194.15,277.63,146.81,130.6
2004-09-01,100.45,131.19,52.56,199.53,281.23,149.43,112.41
2004-10-01,97.43,137.21,60.21,202.79,278.34,142.97,105.86
2004-11-01,107.09,142.39,68.37,189.92,273.95,145.44,98.71
2004-12-01,115.64,148.27,51.3,207.24,287.2,120.23,85.87
2005-01-01,117.43,153.19,53.46,200.63,291.38,103.98,86.73
2005-02-01,121.8,158.46,58.04,181.08,294.41,105.7,78.65
2005-03-01,127.87,162.81,57.86,180.41,311.5,86.71,94.55
2005-04-01,137.75,168.54,64.83,199.88,309.18,133.72,76.77
2005-05-01,136.71,171.65,62.28,197.79,305.33,125.91,58.93
2005-06-01,130.72,176.13,52.5,198.97,309.48,117.2,65.21
2005-07-01,117.67,178.94,64.26,199.72,267.79,54.51,68.51
2005-08-01,115.16,182.32,59.11,202.26,265.76,97.42,78.54
2005-09-01,109.59,184.42,68.68,209.48,259.98,156.82,88.78
2005-10-01,108.59,186.7,59.48,188.89,263.59,112.38,69.99
2005-11-01,114.37,186.98,59.75,188.28,266.84,138.21,82.47
2005-12-01,117.12,184.05,65.95,189.07,263.84,94.63,70.48
2006-01-01,127.39,181.77,67.38,202.89,277.72,165.57,89.76
2006-02-01,132.34,177.6,66.12,212.45,288.41,126.2,122.0
2006-03-01,139.44,173.39,55.77,195.69,321.98,137.25,121.55
2006-04-01,143.66,170.61,67.21,174.98,319.11,188.34,110.13
2006-05-01,131.7,166.51,59.67,182.96,298.43,168.31,97.68
2006-06-01,132.4,160.76,66.35,191.67,291.19,122.94,102.85
2006-07-01,124.65,154.54,58.38,194.42,274.61,115.97,116.71
2006-08-01,116.81,149.36,68.06,195.92,258.23,122.86,124.74
2006-09-01,113.63,143.09,62.12,200.39,264.94,143.95,122.14
2006-10-01,120.97,137.68,60.07,196.88,254.92,128.77,111.03
2006-11-01,111.68,133.71,70.39,210.49,264.6,121.72,97.24
2006-12-01,126.84,131.17,68.36,193.24,259.5,168.48,84.12
2007-01-01,121.59,128.78,64.42,191.38,275.9,129.14,94.38
2007-02-01,136.33,124.28,75.09,204.79,292.89,189.69,108.19
2007-03-01,144.8,123.23,65.97,184.64,301.65,134.67,87.68
2007-04-01,149.43,122.84,68.67,203.9,304.44,177.23,83.43
2007-05-01,148.55,123.71,70.2,201.03,287.56,141.73,67.48
2007-06-01,143.97,126.68,66.1,198.53,297.34,157.07,72.3
2007-07-01,131.26,126.83,71.9,215.88,273.8,115.08,77.08
2007-08-01,123.69,129.24,67.23,193.78,274.96,112.06,99.78
2007-09-01,125.3,133.53,68.19,220.6,262.19,145.09,95.29
2007-10-01,118.54,136.23,77.41,197.75,248.29,158.51,77.38
2007-11-01,115.63,142.44,65.75,187.23,259.15,135.01,87.04
2007-12-01,122.33,147.86,59.25,200.7,271.62,102.04,82.04
2008-01-01,131.4,153.92,79.72,189.24,283.3,100.39,97.56
2008-02-01,146.49,158.56,84.77,192.48,286.97,98.92,117.93
2008-03-01,150.7,164.42,70.36,203.97,307.37,90.61,117.42
